work_year,salary_in_usd,employee_residence,company_size,job_group,_experience_level,_employment_type,_remote_ratio
2023,185000,US,M,Data Engineer,senior,full-time,on-site
2023,140000,US,M,Data Engineer,senior,full-time,on-site
2023,329500,US,M,Data Lead,executive,full-time,on-site
2023,269600,US,M,Data Lead,executive,full-time,on-site
2023,100000,US,M,Data Analyst,senior,full-time,on-site
2023,80000,US,M,Data Analyst,senior,full-time,on-site
2023,250000,US,M,Data Scientist,senior,full-time,on-site
2023,162500,US,M,Data Scientist,senior,full-time,on-site
2023,200000,US,M,ML engineer,mid-level,full-time,remote
2023,145000,US,M,Data Engineer,senior,full-time,on-site
2023,100000,US,M,Data Engineer,senior,full-time,on-site
2023,145000,US,M,Data Engineer,executive,full-time,on-site
2023,115000,US,M,Data Engineer,executive,full-time,on-site
2023,203500,US,M,Data Scientist,senior,full-time,on-site
2023,152000,US,M,Data Scientist,senior,full-time,on-site
2023,239000,US,L,Data Scientist,senior,full-time,on-site
2023,122900,US,L,Data Scientist,senior,full-time,on-site
2023,237000,US,M,Data Scientist,senior,full-time,on-site
2023,145000,US,M,Data Scientist,senior,full-time,on-site
2023,191765,US,M,Data Lead,senior,full-time,on-site
2023,134236,US,M,Data Lead,senior,full-time,on-site
2023,190000,US,M,Analytics engineer,senior,full-time,remote
2023,112000,US,M,Analytics engineer,senior,full-time,remote
2022,88256,ES,L,Data Scientist,senior,full-time,remote
2023,85000,US,M,Data Engineer,entry-level,full-time,on-site
2023,65000,US,M,Data Engineer,entry-level,full-time,on-site
2023,135000,US,M,Data Analyst,senior,full-time,on-site
2023,105500,US,M,Data Analyst,senior,full-time,on-site
2023,293000,US,M,Data Scientist,senior,full-time,on-site
2023,185000,US,M,Data Scientist,senior,full-time,on-site
2023,80000,US,M,Data Analyst,senior,full-time,on-site
2023,70000,US,M,Data Analyst,senior,full-time,on-site
2023,220000,US,M,Data Engineer,senior,full-time,remote
2023,160000,US,M,Data Engineer,senior,full-time,remote
2023,175000,US,M,Data Scientist,senior,full-time,remote
2023,145000,US,M,Data Scientist,senior,full-time,remote
2023,200000,US,M,Data Analyst,senior,full-time,on-site
2023,148500,US,M,Data Analyst,senior,full-time,on-site
2023,48289,ES,M,Data Scientist,senior,full-time,on-site
2023,38631,ES,M,Data Scientist,senior,full-time,on-site
2023,240500,US,L,Data Engineer,senior,full-time,on-site
2023,123700,US,L,Data Engineer,senior,full-time,on-site
2023,152900,US,M,Analytics engineer,senior,full-time,remote
2023,117100,US,M,Analytics engineer,senior,full-time,remote
2023,173000,US,M,Analytics engineer,senior,full-time,remote
2023,113000,US,M,Analytics engineer,senior,full-time,remote
2023,260000,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,175000,US,M,Data Engineer,executive,full-time,on-site
2023,110000,US,M,Data Engineer,executive,full-time,on-site
2023,260000,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,130000,US,M,Data Scientist,senior,full-time,remote
2023,110000,US,M,Data Scientist,senior,full-time,remote
2023,205000,US,M,Data Scientist,senior,full-time,remote
2023,184000,US,M,Data Scientist,senior,full-time,remote
2023,149500,US,M,Data Analyst,senior,full-time,remote
2023,127075,US,M,Data Analyst,senior,full-time,remote
2023,195000,US,M,Data Scientist,senior,full-time,on-site
2023,160000,US,M,Data Scientist,senior,full-time,on-site
2023,219535,US,M,Data Engineer,senior,full-time,remote
2023,146115,US,M,Data Engineer,senior,full-time,remote
2023,170000,US,M,Data Scientist,senior,full-time,on-site
2023,135000,US,M,Data Scientist,senior,full-time,on-site
2023,175000,US,M,Data Scientist,senior,full-time,remote
2023,145000,US,M,Data Scientist,senior,full-time,remote
2023,199000,US,M,Data Scientist,senior,full-time,on-site
2023,162000,US,M,Data Scientist,senior,full-time,on-site
2023,222200,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,221000,US,M,Analytics engineer,executive,full-time,remote
2023,153000,US,M,Analytics engineer,executive,full-time,remote
2023,187000,US,M,Data Analyst,senior,full-time,on-site
2023,128000,US,M,Data Analyst,senior,full-time,on-site
2023,210000,US,M,Data Scientist,senior,full-time,on-site
2023,136000,US,M,Data Scientist,senior,full-time,on-site
2023,175000,US,M,Data Scientist,senior,full-time,remote
2023,100000,US,M,Data Scientist,senior,full-time,remote
2023,179000,US,M,Data Engineer,senior,full-time,on-site
2023,109000,US,M,Data Engineer,senior,full-time,on-site
2023,245000,US,M,Data Scientist,senior,full-time,on-site
2023,180000,US,M,Data Scientist,senior,full-time,on-site
2023,142000,US,M,Data Analyst,senior,full-time,remote
2023,75000,US,M,Data Analyst,senior,full-time,remote
2023,198800,US,M,Data Lead,senior,full-time,on-site
2023,105200,US,M,Data Lead,senior,full-time,on-site
2023,125000,US,M,Data Analyst,senior,full-time,remote
2023,112000,US,M,Data Analyst,senior,full-time,remote
2023,210000,US,M,Data Scientist,senior,full-time,on-site
2023,155000,US,M,Data Scientist,senior,full-time,on-site
2023,115000,US,M,Data Lead,senior,full-time,remote
2023,86000,US,M,Data Lead,senior,full-time,remote
2023,165000,US,M,Data Scientist,senior,full-time,on-site
2023,140000,US,M,Data Scientist,senior,full-time,on-site
2023,139000,US,M,Data Analyst,senior,full-time,on-site
2023,106000,US,M,Data Analyst,senior,full-time,on-site
2023,40663,CA,L,Data Analyst,entry-level,full-time,on-site
2022,275000,CA,S,ML engineer,senior,full-time,on-site
2023,50000,UA,S,Data Scientist,senior,freelance,hybrid
2023,280700,US,M,ML engineer,mid-level,full-time,remote
2023,150450,US,M,ML engineer,mid-level,full-time,remote
2023,51753,CA,L,Data Scientist,entry-level,full-time,remote
2023,250500,US,M,Data Architect,senior,full-time,on-site
2023,159500,US,M,Data Architect,senior,full-time,on-site
2023,145000,US,M,Data Engineer,senior,full-time,on-site
2023,115000,US,M,Data Engineer,senior,full-time,on-site
2023,140000,US,M,Data Analyst,senior,full-time,on-site
2023,120000,US,M,Data Analyst,senior,full-time,on-site
2023,130001,US,M,Data Scientist,entry-level,full-time,remote
2023,71907,US,M,Data Scientist,entry-level,full-time,remote
2023,93918,US,M,Data Scientist,mid-level,full-time,remote
2023,51962,US,M,Data Scientist,mid-level,full-time,remote
2023,175000,CA,M,Data Analyst,senior,full-time,remote
2023,135000,CA,M,Data Analyst,senior,full-time,remote
2023,85000,US,M,Data Engineer,entry-level,full-time,on-site
2023,65000,US,M,Data Engineer,entry-level,full-time,on-site
2023,257000,US,M,ML engineer,senior,full-time,on-site
2023,147000,US,M,ML engineer,senior,full-time,on-site
2023,222000,US,M,Data Engineer,senior,full-time,remote
2023,175000,US,M,Data Engineer,senior,full-time,remote
2023,203000,US,M,Data Scientist,senior,full-time,remote
2023,133200,US,M,Data Scientist,senior,full-time,remote
2023,213660,US,L,Data Scientist,entry-level,full-time,on-site
2023,130760,US,L,Data Scientist,entry-level,full-time,on-site
2023,221000,US,M,Data Engineer,senior,full-time,on-site
2023,147000,US,M,Data Engineer,senior,full-time,on-site
2023,100000,US,M,Data Analyst,senior,full-time,on-site
2023,80000,US,M,Data Analyst,senior,full-time,on-site
2023,185900,US,M,Data Scientist,senior,full-time,on-site
2023,129300,US,M,Data Scientist,senior,full-time,on-site
2023,238000,US,M,Data Scientist,senior,full-time,remote
2023,156000,US,M,Data Scientist,senior,full-time,remote
2023,304000,US,M,ML engineer,senior,full-time,remote
2023,199000,US,M,ML engineer,senior,full-time,remote
2023,48289,ES,M,Data Engineer,mid-level,full-time,remote
2023,150000,US,M,Data Engineer,senior,full-time,on-site
2023,130000,US,M,Data Engineer,senior,full-time,on-site
2023,140000,US,M,Data Scientist,senior,full-time,remote
2023,110000,US,M,Data Scientist,senior,full-time,remote
2023,90000,US,M,Data Analyst,mid-level,full-time,on-site
2023,75000,US,M,Data Analyst,mid-level,full-time,on-site
2023,195895,GB,M,Data Scientist,mid-level,full-time,on-site
2023,102772,GB,M,Data Scientist,mid-level,full-time,on-site
2023,240000,US,M,Data Engineer,senior,full-time,on-site
2023,183600,US,M,Data Engineer,senior,full-time,on-site
2023,130000,US,M,Other,mid-level,full-time,on-site
2023,80000,US,M,Other,mid-level,full-time,on-site
2023,250000,US,M,Data Engineer,senior,full-time,on-site
2023,150000,US,M,Data Engineer,senior,full-time,on-site
2023,160000,US,M,Data Lead,senior,full-time,remote
2023,120000,US,M,Data Lead,senior,full-time,remote
2023,289076,US,M,ML engineer,senior,full-time,on-site
2023,202353,US,M,ML engineer,senior,full-time,on-site
2023,145000,US,M,Data Engineer,senior,full-time,on-site
2023,120000,US,M,Data Engineer,senior,full-time,on-site
2023,155000,US,M,Data Analyst,senior,full-time,on-site
2023,106000,US,M,Data Analyst,senior,full-time,on-site
2023,200000,US,M,Data Engineer,senior,full-time,on-site
2023,160000,US,M,Data Engineer,senior,full-time,on-site
2023,157750,US,M,Data Scientist,senior,full-time,remote
2023,104650,US,M,Data Scientist,senior,full-time,remote
2023,180000,US,M,Data Scientist,mid-level,full-time,remote
2023,140000,US,M,Data Scientist,mid-level,full-time,remote
2023,200000,US,M,Data Scientist,executive,full-time,on-site
2023,145000,US,M,Data Scientist,executive,full-time,on-site
2023,68000,US,L,Data Analyst,mid-level,full-time,on-site
2023,60000,US,M,Data Engineer,entry-level,full-time,remote
2023,48289,ES,M,Data Scientist,senior,full-time,on-site
2023,38631,ES,M,Data Scientist,senior,full-time,on-site
2023,85000,US,M,Data Engineer,entry-level,full-time,on-site
2023,65000,US,M,Data Engineer,entry-level,full-time,on-site
2023,125000,US,M,Data Engineer,mid-level,full-time,on-site
2023,90000,US,M,Data Engineer,mid-level,full-time,on-site
2023,105000,US,M,Data Analyst,senior,full-time,remote
2023,90000,US,M,Data Analyst,senior,full-time,remote
2023,179820,US,M,Analytics engineer,senior,full-time,on-site
2023,143860,US,M,Analytics engineer,senior,full-time,on-site
2023,135000,US,M,Data Analyst,senior,full-time,on-site
2023,105500,US,M,Data Analyst,senior,full-time,on-site
2023,155000,US,M,Data Scientist,entry-level,full-time,on-site
2023,125000,US,M,Data Scientist,entry-level,full-time,on-site
2023,241000,US,M,ML engineer,senior,full-time,on-site
2023,181000,US,M,ML engineer,senior,full-time,on-site
2023,252000,US,M,Data Scientist,senior,full-time,on-site
2023,154000,US,M,Data Scientist,senior,full-time,on-site
2023,180000,US,M,Data Architect,executive,full-time,on-site
2023,155000,US,M,Data Architect,executive,full-time,on-site
2023,191765,US,M,Data Scientist,senior,full-time,on-site
2023,134236,US,M,Data Scientist,senior,full-time,on-site
2023,175000,US,M,Data Scientist,senior,full-time,remote
2023,145000,US,M,Data Scientist,senior,full-time,remote
2023,237000,US,M,Data Scientist,senior,full-time,remote
2023,145000,US,M,Data Scientist,senior,full-time,remote
2023,155000,US,M,Data Scientist,entry-level,full-time,on-site
2023,125000,US,M,Data Scientist,entry-level,full-time,on-site
2023,80000,US,M,Data Analyst,senior,full-time,on-site
2023,70000,US,M,Data Analyst,senior,full-time,on-site
2023,146000,US,M,Data Engineer,senior,full-time,on-site
2023,75000,US,M,Data Engineer,senior,full-time,on-site
2023,64200,US,M,Data Analyst,entry-level,full-time,remote
2023,56100,US,M,Data Analyst,entry-level,full-time,remote
2023,170000,US,M,ML engineer,senior,full-time,on-site
2023,130000,US,M,ML engineer,senior,full-time,on-site
2023,208450,US,M,Data Analyst,senior,full-time,remote
2023,170550,US,M,Data Analyst,senior,full-time,remote
2023,125000,US,M,ML engineer,senior,full-time,on-site
2023,100000,US,M,ML engineer,senior,full-time,on-site
2023,135000,US,M,Data Lead,mid-level,full-time,on-site
2023,120000,US,M,Data Lead,mid-level,full-time,on-site
2023,200000,US,M,Data Scientist,senior,full-time,remote
2023,170000,US,M,Data Scientist,senior,full-time,remote
2023,171250,IE,M,Data Scientist,senior,full-time,on-site
2023,113750,IE,M,Data Scientist,senior,full-time,on-site
2023,222200,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,260000,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,153600,US,M,Data Analyst,senior,full-time,on-site
2023,100500,US,M,Data Analyst,senior,full-time,on-site
2023,205000,US,M,Data Scientist,senior,full-time,remote
2023,184000,US,M,Data Scientist,senior,full-time,remote
2023,115000,CA,M,ML engineer,senior,full-time,remote
2023,95000,CA,M,ML engineer,senior,full-time,remote
2023,182500,US,M,Data Analyst,mid-level,full-time,on-site
2023,121500,US,M,Data Analyst,mid-level,full-time,on-site
2023,203100,US,M,Data Engineer,senior,full-time,on-site
2023,114500,US,M,Data Engineer,senior,full-time,on-site
2023,72914,GB,M,Data Analyst,mid-level,full-time,on-site
2023,54685,GB,M,Data Analyst,mid-level,full-time,on-site
2023,252000,US,M,Data Engineer,senior,full-time,on-site
2023,129000,US,M,Data Engineer,senior,full-time,on-site
2023,92700,US,M,Data Engineer,entry-level,full-time,remote
2023,61800,US,M,Data Engineer,entry-level,full-time,remote
2023,160000,US,M,Data Engineer,senior,full-time,remote
2023,130000,US,M,Data Engineer,senior,full-time,remote
2023,258000,CA,M,Data Scientist,senior,full-time,on-site
2023,190000,CA,M,Data Scientist,senior,full-time,on-site
2023,170000,US,M,Data Scientist,senior,full-time,on-site
2023,135000,US,M,Data Scientist,senior,full-time,on-site
2023,167500,US,M,Data Architect,mid-level,full-time,on-site
2023,106500,US,M,Data Architect,mid-level,full-time,on-site
2023,195000,US,M,Data Scientist,senior,full-time,on-site
2023,160000,US,M,Data Scientist,senior,full-time,on-site
2023,146000,US,M,Data Engineer,mid-level,full-time,on-site
2023,75000,US,M,Data Engineer,mid-level,full-time,on-site
2022,59888,NL,L,Data Engineer,entry-level,full-time,remote
2023,286000,US,M,Data Engineer,executive,full-time,remote
2023,207000,US,M,Data Engineer,executive,full-time,remote
2023,100000,US,M,Data Analyst,senior,full-time,remote
2023,80000,US,M,Data Analyst,senior,full-time,remote
2023,223250,US,M,Data Engineer,senior,full-time,on-site
2023,178600,US,M,Data Engineer,senior,full-time,on-site
2023,353200,US,M,Data Lead,executive,full-time,on-site
2023,249300,US,M,Data Lead,executive,full-time,on-site
2023,230000,US,M,Data Scientist,mid-level,full-time,on-site
2023,220000,US,M,Data Scientist,mid-level,full-time,on-site
2023,297300,US,M,Data Scientist,senior,full-time,remote
2023,198200,US,M,Data Scientist,senior,full-time,remote
2023,210000,US,M,Data Scientist,mid-level,full-time,remote
2023,151800,US,M,Data Scientist,mid-level,full-time,remote
2023,200000,US,M,Data Scientist,senior,full-time,remote
2023,170000,US,M,Data Scientist,senior,full-time,remote
2023,317070,US,M,Data Scientist,senior,full-time,on-site
2023,170730,US,M,Data Scientist,senior,full-time,on-site
2023,128000,US,M,Data Engineer,senior,full-time,on-site
2023,81500,US,M,Data Engineer,senior,full-time,on-site
2023,21461,ES,M,Data Analyst,entry-level,full-time,on-site
2023,108000,UA,M,ML engineer,senior,full-time,on-site
2023,60000,UA,M,ML engineer,senior,full-time,on-site
